category,quantity
能源,2314
汽车,2090
技术,681
用车,644
动力,588
燃料,549
电动,483
信息化,456
电池,451
工业,448
安全,409
标准,365
车辆,331
蓄电池,330
充电,315
系统,311
积分,298
项目,290
部门,274
节能,246
规定,238
车型,237
质量,208
设施,207
政策,205
试点,186
示范,184
回收,183
补贴,179
可再生,169
销售,161
机构,160
进口,145
补助,143
材料,143
单位,139
驱动,121
能量,109
电机,108
专项,105
关键,105
人员,104
综合,104
运营,102
重点,102
地区,102
研发,101
发电,101
市场,100
方案,100
体系,99
落实,95
梯次,95
主管,95
研究,94
国务院,93
总局,93
环境,93
措施,93
电网,91
保障,89
政府,87
创新,87
监测,86
公交车,85
规范,84
监督,84
领域,84
检测,84
监管,84
里程,83
太阳能,82
满足,79
配套,79
产业化,77
实际,77
计划,76
投资,76
客车,76
事故,75
装置,75
核算,75
控制,74
车船税,74
交通,74
车载,72
原则,72
模式,72
资源,72
文件,72
科技,71
指标,70
社会,69
境内,68
水平,68
人民,67
评价,67
填写,67
范围,66
考核,66
结合,66
节约,65
各省,65
中央,64
规模,64
零部件,64
工程,64
目标,63
机制,63
性能,63
供应,61
确保,61
比例,61
名称,58
主体,58
类别,57
中华,57
税务,56
一致性,56
阶段,56
规则,54
审核,53
法规,53
事项,52
废旧,52
核查,51
状态,51
优惠,51
测试,50
免征,50
公交,49
集团,48
功率,48
常规,48
依据,48
购置税,48
运输,47
充分,47
光伏,47
发动机,46
作用,46
维修,46
安排,45
电能,44
发挥,44
报废,44
型号,43
密度,43
区域,43
协议,43
有效,43
结转,42
控制器,42
系数,42
计划单列,42
溯源,41
额定,41
风力,40
排放,40
公布,39
资格,39
工况,39
严格,39
结构,39
建筑,39
限值,38
成本,38
需求,37
评估,37
任务,37
污染,37
隐患,36
意见,36
优化,36
序号,36
合作,36
保护,35
电站,35
力度,35
机关,35
环保,35
轻型,34
投入,34
日前,34
高效,34
取得,34
煤矿,34
行为,34
选择,33
参数,33
牵头,33
目标值,33
中心,33
经济,33
国家标准,33
整备,33
编制,33
并网,32
下属,32
协调,32
认证,32
备案,32
证书,32
机动车,32
领导,32
拆解,32
生产能力,32
底盘,32
可靠性,32
抵偿,32
十五,31
进口量,31
风电,31
车速,31
专家,31
分析,31
专用,31
修改,31
农村,31
精神,31
战略,31
督查,31
新型,30
出厂,30
总体,30
总成,30
万吨,30
说明,30
电力,30
工况法,30
适用,30
引导,30
程式,30
减免,30
购置,30
专用车,30
参与,29
提出,29
储能,29
调查表,29
柴油,29
供方,29
备件,29
起步,29
商业,29
至少,29
第二,29
部件,29
电容,29
千瓦,29
培训,28
标准煤,28
处罚,28
道路,28
面积,28
生命,28
自主,27
全面,27
车用,27
生态,27
货车,27
交易,27
新疆,27
规程,27
功能,26
兆瓦,26
维护,26
租赁,26
工艺,26
程序,26
私人,26
跟踪,26
兵团,26
生产量,26
传导,26
健康,26
评审,25
再生,25
定型,25
船舶,25
装备,25
应急,25
单体,25
先进,25
重型,25
程度,25
保留,25
期限,25
机械,24
故障,24
商用,24
停止,24
形式,24
标值,24
现行,24
传统,24
重视,23
拨付,23
电子,23
有限公司,23
许可,23
环节,23
连接,23
暂行,23
注册,23
职业,23
合理,23
标准化,23
总署,23
种类,23
享受,23
质保,23
标志,23
标识,23
斜井,23
采购,23
渠道,22
能源系,22
接口,22
汽油,22
照本,22
寿命,22
强制性,22
防护,22
能耗,22
填报,22
切实,22
转化,22
排查,22
通用,21
违法,21
海关,21
国产,21
课题,21
定期,21
监控,21
地热,21
安装,21
运输部,21
消费,21
可持续发展,21
组委会,21
电量,21
税收,21
优势,21
操作,21
周期,21
车船,21
设置,21
不符,21
等速,21
适当,21
民用,20
测量,20
负责人,20
反馈,20
服务网,20
免税,20
手续,20
奖励,20
法律,20
高技术,20
赛项,19
科委,19
离子,19
热泵,19
合格证,19
认定,19
大气,19
太阳,19
电价,19
减排,19
门槛,19
信用,18
编码,18
电器,18
科研,18
拆卸,18
循环,18
实地,18
贮存,18
履行,18
清算,18
建议,18
消耗,18
公开,18
发展期,18
自查,18
安全性,18
境外,18
质检,18
风能,17
供电,17
